id	type	DescriptionTitle	PriceLabel	ListingDate	ReListingDate	Address	Suburb	State	PostCode	Property.lat	Property.lon	PropertyType	Agency.Id	Agency.Name	Agent.Name	Beds	Baths	Cars	EER	PlotSize
47945	residential	barney.bliss	$1,310,000	2021-10-08T10:49:11.382077+11:00	2021-10-18T10:16:35.063053+11:00	13 Barney Street	DOWNER	ACT	2602	149.1375225	-35.2450885	House	618	home.by holly	Holly Komorowski	4	1	3	1.00	
47953	residential	An exquisite blend of contemporary design and harmonious family living	Auction	2021-10-08T12:08:13.886187+11:00	2021-10-15T16:46:31.732615+11:00	5 Jamrozik Street	DENMAN PROSPECT	ACT	2611	149.0228511	-35.3072484	House	414	Luton Weston Creek & Molonglo Valley	Tim and Justine Burke	4	2	3	4.50	484.00
48059	residential	Prime Investments - Near New!	$889,000	2021-10-12T11:35:14.467523+11:00	2021-10-12T12:16:37.614301+11:00	15 & 15A Vincent Avenue	GOULBURN	NSW	2580	149.7460047	-34.72356	House	3199	Raine & Horne Goulburn	Zeb Alaia	5	3	3		822.00
48065	residential	A solid first home, downsize or investment opportunity	Auction 11/11/2021	2021-10-12T12:09:20.361821+11:00	2021-10-20T10:16:26.038515+11:00	3/58-60 Wattle Street	LYNEHAM	ACT	2602	149.1270937	-35.2545225	Unit	232	Ray White Canberra	Chris Dixon	2	1	1	4.00	0.00
48087	residential	Superb location & low-maintenance living!	Auction	2021-10-12T15:15:34.155993+11:00	2021-10-21T15:01:45.380966+11:00	10/15 Dickins Street	FORDE	ACT	2914	149.1458532	-35.1733657	Townhouse	2746	Canberry Properties	Bob Zhuang	3	2	2	6.00	
48091	land	tba...	$320,000	2021-10-12T15:31:39.324465+11:00	2021-10-12T15:32:37.096190+11:00	106 Freycinet Drive	SUNSHINE BAY	NSW	2536	150.202329	-35.7525558	Land	2540	Ray White Batemans Bay	Aristotle Stavros	0	0	0		565.00
48119	residential	SOLD PRIOR TO AUCTION $860,000	SOLD - $860,000	2021-10-13T10:20:23.257437+11:00	2021-10-21T23:31:28.021908+11:00	67 Francis Forde Boulevard	FORDE	ACT	2914	149.145571	-35.1706707	House	2862	Stone Gungahlin	Jess Smith	4	2	1	5.50	296.00
48120	residential	Townhouse Living At It's Finest!	Forthcoming Auction	2021-10-13T10:20:23.455181+11:00	2021-10-20T12:46:26.676262+11:00	4/16 Fairlight Street	DUNLOP	ACT	2615	149.0185765	-35.1948112	Townhouse	441	LJ Hooker Kippax	Sarah Turnbull	3	2	2	4.00	297.00
48157	residential	Immaculately presented home in a popular elevated position	SOLD PRIOR TO AUCTION - $1,143,000	2021-10-13T15:31:44.543361+11:00	2021-10-20T10:01:41.115846+11:00	39 Barber Crescent	FLYNN	ACT	2615	149.0478859	-35.1966527	House	410	McGrath Canberra	Natalie Kokic Schmidt	4	2	2	3.00	1014.00
48166	residential	archer.home	Contact Agent	2021-10-13T17:10:09.394812+11:00	2021-10-21T16:31:31.772316+11:00	18 Archer Street	DICKSON	ACT	2602	149.1413354	-35.2546697	House	618	home.by holly	Holly Komorowski	3	1	1	4.00	
48179	residential	A wonderful first home for those who love to entertain	Auction	2021-10-14T06:33:10.564255+11:00	2021-10-21T17:46:28.155247+11:00	36 Preddey Way	GORDON	ACT	2906	149.0836609	-35.4478372	House	414	Luton Weston Creek & Molonglo Valley	Tim and Justine Burke	3	1	2	4.00	828.00
48185	residential	Immaculate Family Home	AUCTION	2021-10-14T08:34:51.592466+11:00	2021-10-21T10:46:28.186034+11:00	1 Scully Street	GORDON	ACT	2906	149.0859252	-35.4555482	House	34	McIntyre Property	Colin McIntyre	4	2	2	4.50	511.00
48472	residential	Renovated Family Living!	Auction	2021-10-14T14:26:45.962526+11:00	2021-10-19T10:31:30.312426+11:00	28 Elm Way	JERRABOMBERRA	NSW	2619	149.2039065	-35.3879578	House	624	Ian McNamee & Partners - Queanbeyan	Michael Edwards	4	2	3		840.00
48474	residential	Rewarding family layout	Auction	2021-10-14T14:32:45.565223+11:00	2021-10-21T22:01:39.805888+11:00	7 Braddon Place	GORDON	ACT	2906	149.0863064	-35.4449437	House	2801	Solely Properties	Andrew Thorpe	4	2	2	3.00	
48496	residential	Lovely Beauty on Murray	$520000	2021-10-14T17:06:19.397850+11:00	2021-10-14T18:01:50.757956+11:00	26 Murray St	GOULBURN	NSW	2580	149.721393	-34.7440922	House	3199	Raine & Horne Goulburn	Zeb Alaia	3	1	3		746.00
48585	residential	Beautiful Home on RZ2 Block of land across the Parkland	Auction On-Site, 20/11/2021 at 11:00am	2021-10-18T14:07:12.855824+11:00	2021-10-20T15:16:28.776348+11:00	10 Birrell Street	PAGE	ACT	2614	149.0526822	-35.2378164	House	636	Impact Properties	Shaun Iqbal	3	1	2	1.00	821.00
48676	residential	Amazing apartment with Breathtaking Views !	$462,500	2021-10-20T09:01:19.926780+11:00	2021-10-20T09:01:28.574635+11:00	303/1 Anthony Rolfe Avenue	GUNGAHLIN	ACT	2912	0	0	Apartment	636	Impact Properties	Shaun Iqbal	2	2	1	6.00	
48790	residential	VIEWS VIEWS VIEWS...	Auction	2021-10-21T14:14:10.596472+11:00	2021-10-21T15:16:26.889861+11:00	6/384-388 Beach Road	BATEHAVEN	NSW	2536	150.2077962	-35.7367877	Unit	2540	Ray White Batemans Bay	Dawn Mason	1	1	1		
