id	type	ListingDate	PriceLabel	SoldDate	SoldPrice	Beds	Baths	Cars	EER	PlotSize	Agency.Name	Slug
63360	Townhouse	2022-08-30	By Negotiation	2022-08-30	Undisclosed	2	2	1	6.0		Impact Properties	27-141-mapleton-avenue-harrison-act-2914
63361	House	2022-08-30	Auction	2022-09-24	$1,065,000	4	3	2	1.0	808.0	Bertram Ellis	71-hilder-street-weston-act-2611
63364	Apartment	2022-08-30	AUCTION	2022-09-29	$840,000	3	2	2			Henley Property - Jindabyne	5-38-gippsland-street-jindabyne-nsw-2627
63366	House	2022-08-31	Sold $882,000	2022-09-17	$882,000	3	1	1	2.5	618.0	Blackshaw Gungahlin	50-ross-smith-crescent-scullin-act-2614
63367	House	2022-08-31	$800,000 - $850,000	2022-10-28	$820,000	4	2	2		607.0	Ward Estate Agents	7-dane-street-queanbeyan-nsw-2620
63368	House	2022-08-31	$650,000	2022-11-04	$565,000	3	1	1		636.0	Henley Property - Berridale	54-jindabyne-road-berridale-nsw-2628
63369	House	2022-08-31	Auction	2022-09-26	Undisclosed	3	1	2	3.0	765.0	Luton Tuggeranong	3-brigden-crescent-theodore-act-2905
63370	AcreageSemi-rural	2022-08-31	$850,000 - $865,000	2022-10-05	$865,000	1	1	0		101.6	Ray White Bungendore	114-roseview-road-mount-fairy-nsw-2580
63376	House	2022-08-31	SOLD $1,180,000	2022-08-26	Undisclosed	4	3	2	5.0	426.0	Stone Gungahlin	borland-street-taylor-act-2913
63379	Townhouse	2022-08-31	Auction	2022-09-21	$930,000	3	2	2	5.5		LJ Hooker Canberra City	8-29-35-temperley-street-nicholls-act-2913
63381	House	2022-08-31	$1,100,000	2023-09-28	$1,050,000	4	2	3		860.0	LJ Hooker Tuross Head	37-grenville-avenue-tuross-head-nsw-2537
63382	House	2022-08-31	Guide $1,100,000 to $1,150,000	2022-09-14	$1,130,000	4	2	2		693.0	Sails Real Estate	11-the-peninsula-tura-beach-nsw-2548
63384	Lifestyle	2022-08-31	$2,500,000	2023-03-30	Undisclosed	3	2	2		4.74	McGoldrick Estate Agents	375-agars-lane-berry-nsw-2535
63385	House	2022-08-31	Auction	2022-09-17	$695,000	3	1	1	1.0	766.0	LJ Hooker Belconnen	12-pither-close-flynn-act-2615
63386	House	2022-08-31	Auction	2022-09-17	$1,100,000	4	1	2	2.5	1276.0	LJ Hooker Belconnen	39-hooper-crescent-flynn-act-2615
